FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
400        13    4     7516         7516         0.08           100.00%
401        3     14    16504        16504        0.14           100.00%
402        4     12    6927         6927         0.07           100.00%
403        13    9     6924         6924         0.06           100.00%
404        12    8     6661         6661         0.06           100.00%
405        2     15    7202         7202         0.06           100.00%
406        12    2     7500         7500         0.06           100.00%
407        7     12    9424         9424         0.10           100.00%
408        8     15    15093        15093        0.13           100.00%
409        7     16    17837        17837        0.17           100.00%
410        16    5     43748        43748        0.38           100.00%
411        8     17    6006         6006         0.11           100.00%
412        4     10    11832        11832        0.09           100.00%
413        5     11    106081       106081       0.91           100.00%
414        9     10    4949         4949         0.30           100.00%
415        11    4     6851         6851         0.32           100.00%
416        3     17    6602         6602         0.05           100.00%
417        4     12    10807        10807        0.20           100.00%
418        14    9     46684        46684        0.93           100.00%
419        11    7     27882        27882        0.82           100.00%
420        11    2     14840        14840        0.18           100.00%
421        3     15    5376         5376         0.14           100.00%
422        16    8     22735        22735        0.20           100.00%
423        3     11    21569        21569        0.17           100.00%
424        6     14    274723       274723       2.78           100.00%
425        6     10    52784        52784        1.47           100.00%
426        3     14    8854         8854         0.39           100.00%
427        13    7     6498         6498         0.06           100.00%
428        6     16    12286        12286        0.13           100.00%
429        7     16    8017         8017         0.14           100.00%
430        4     12    22068        22068        0.17           100.00%
431        13    4     5046         5046         0.04           100.00%
432        7     15    5329         5329         0.04           100.00%
433        2     11    9743         9743         0.08           100.00%
434        15    4     9902         9902         0.07           100.00%
435        6     14    7346         7346         0.06           100.00%
436        8     11    6696         6696         0.04           100.00%
437        11    4     5437         5437         0.04           100.00%
438        13    9     26113        26113        0.19           100.00%
439        9     17    26741        26741        0.19           100.00%
440        8     13    5041         5041         0.04           100.00%
441        15    2     6598         6598         0.05           100.00%
442        16    2     11430        11430        0.20           100.00%
443        6     15    48642        48642        0.54           100.00%
444        5     17    4880         4880         0.04           100.00%
445        13    5     22582        22582        0.22           100.00%
446        3     11    5403         5403         0.04           100.00%
447        4     13    16887        16887        0.14           100.00%
448        14    2     5633         5633         0.05           100.00%
449        14    2     35803        35803        0.34           100.00%
450        4     15    46691        46691        0.34           100.00%
451        13    4     14921        14921        0.12           100.00%
452        7     13    5935         5935         0.05           100.00%
453        4     13    10453        10453        0.10           100.00%
454        13    6     5648         5648         0.05           100.00%
455        12    6     6299         6299         0.05           100.00%
456        4     17    4816         4816         0.03           100.00%
457        7     12    6842         6842         0.05           100.00%
458        4     11    5752         5752         0.05           100.00%
459        3     14    7120         7120         0.06           100.00%
460        13    2     9525         9525         0.08           100.00%
461        9     16    15058        15058        0.11           100.00%
462        14    9     7785         7785         0.07           100.00%
463        16    4     114286       114286       0.96           100.00%
464        6     13    5139         5139         0.46           100.00%
465        5     17    9789         9789         0.12           100.00%
466        11    5     5291         5291         0.06           100.00%
467        14    5     27584        27584        0.53           100.00%
468        12    5     34678        34678        0.49           100.00%
469        14    5     5752         5752         0.05           100.00%
470        9     10    6168         6168         0.05           100.00%
471        4     16    4838         4838         0.08           100.00%
472        6     15    6543         6543         0.09           100.00%
473        9     14    21996        21996        0.19           100.00%
474        5     10    7417         7417         0.06           100.00%
475        9     11    6482         6482         0.05           100.00%
476        10    2     6076         6076         0.05           100.00%
477        15    5     5623         5623         0.05           100.00%
478        8     10    8842         8842         0.09           100.00%
479        9     17    45501        45501        0.38           100.00%
480        3     13    65703        65703        0.67           100.00%
481        6     10    13105        13105        0.75           100.00%
482        14    2     23726        23726        0.30           100.00%
483        13    9     4981         4981         0.06           100.00%
484        7     12    36053        36053        0.29           100.00%
485        16    7     11870        11870        0.13           100.00%
486        12    8     6257         6257         0.15           100.00%
487        3     11    5596         5596         0.06           100.00%
488        6     12    5344         5344         0.04           100.00%
489        10    7     11952        11952        0.09           100.00%
490        17    7     869465       869465       9.03           100.00%
491        7     17    11694        11694        1.13           100.00%
492        7     10    73468        73468        2.85           100.00%
493        3     13    16514        16514        0.23           100.00%
494        16    7     4918         4918         0.04           100.00%
495        3     12    6978         6978         0.11           100.00%
496        16    8     8151         8151         0.28           100.00%
497        9     10    35651        35651        0.42           100.00%
498        9     14    6780         6780         0.05           100.00%
499        8     11    10656        10656        0.09           100.00%
500        10    8     5092         5092         0.04           100.00%
501        5     15    10033        10033        0.10           100.00%
502        13    3     6571         6571         0.05           100.00%
503        10    7     10506        10506        0.08           100.00%
504        15    9     22012        22012        0.17           100.00%
505        15    3     17152        17152        0.13           100.00%
506        10    8     8073         8073         0.07           100.00%
507        16    7     11869        11869        0.09           100.00%
508        8     10    10595        10595        0.09           100.00%
509        7     11    5431         5431         0.04           100.00%
510        15    2     28634        28634        0.23           100.00%
511        6     17    9323         9323         0.08           100.00%
512        13    7     10791        10791        0.09           100.00%
513        15    8     8906         8906         0.06           100.00%
514        14    9     12555        12555        0.09           100.00%
515        6     16    12601        12601        0.12           100.00%
516        4     16    12603        12603        0.12           100.00%
517        9     17    6049         6049         0.06           100.00%
518        14    3     5109         5109         0.04           100.00%
519        11    9     7255         7255         0.05           100.00%
520        8     13    6170         6170         0.05           100.00%
521        6     10    120753       120753       1.09           100.00%
522        13    3     8669         8669         0.28           100.00%
523        17    7     5009         5009         0.20           100.00%
524        6     17    5945         5945         0.05           100.00%
525        10    9     5086         5086         0.04           100.00%
526        14    2     7713         7713         0.06           100.00%
527        7     11    7986         7986         0.06           100.00%
528        4     16    8630         8630         0.07           100.00%
529        9     10    5229         5229         0.04           100.00%
530        16    6     10279        10279        0.09           100.00%
531        5     16    5265         5265         0.04           100.00%
532        16    8     13106        13106        0.11           100.00%
533        17    9     92171        92171        0.69           100.00%
534        12    9     22056        22056        0.19           100.00%
535        17    4     6827         6827         0.07           100.00%
536        3     10    6412         6412         0.05           100.00%
537        17    7     156116       156116       1.70           100.00%
538        11    3     15600        15600        0.17           100.00%
539        10    4     16518        16518        0.12           100.00%
540        10    6     8428         8428         0.06           100.00%
541        16    9     14248        14248        0.10           100.00%
542        6     12    6829         6829         0.06           100.00%
543        16    6     23263        23263        0.21           100.00%
544        16    5     10485        10485        0.07           100.00%
545        14    3     7969         7969         0.06           100.00%
546        11    5     13823        13823        0.10           100.00%
547        5     11    6459         6459         0.05           100.00%
548        6     16    8300         8300         0.07           100.00%
549        16    7     46673        46673        0.52           100.00%
550        12    2     11339        11339        0.10           100.00%
551        14    7     41015        41015        0.34           100.00%
552        15    8     6684         6684         0.05           100.00%
553        13    7     5214         5214         0.04           100.00%
554        9     10    34964        34964        0.25           100.00%
555        4     17    4921         4921         0.04           100.00%
556        9     11    6738         6738         0.05           100.00%
557        17    5     5491         5491         0.05           100.00%
558        12    7     5946         5946         0.05           100.00%
559        15    4     10055        10055        0.07           100.00%
560        4     16    5038         5038         0.04           100.00%
561        9     15    8515         8515         0.19           100.00%
562        8     11    7340         7340         0.10           100.00%
563        12    4     9502         9502         0.09           100.00%
564        14    9     8291         8291         0.08           100.00%
565        16    8     25900        25900        0.28           100.00%
566        17    9     5117         5117         0.04           100.00%
567        3     13    6934         6934         0.05           100.00%
568        16    7     17038        17038        0.15           100.00%
569        13    3     7113         7113         0.06           100.00%
570        9     14    11800        11800        0.18           100.00%
571        11    7     39660        39660        0.46           100.00%
572        11    7     6747         6747         0.06           100.00%
573        9     12    26412        26412        0.20           100.00%
574        9     11    6941         6941         0.06           100.00%
575        14    9     20872        20872        0.16           100.00%
576        2     10    16578        16578        0.16           100.00%
577        15    5     18177        18177        0.18           100.00%
578        6     10    33203        33203        0.26           100.00%
579        8     15    116705       116705       0.86           100.00%
580        14    2     89160        89160        1.12           100.00%
581        7     13    5589         5589         0.15           100.00%
582        5     13    8827         8827         0.78           100.00%
583        13    4     6365         6365         0.05           100.00%
584        15    5     15079        15079        0.14           100.00%
585        12    6     6429         6429         0.06           100.00%
586        5     14    6833         6833         0.05           100.00%
587        13    7     14259        14259        0.11           100.00%
588        5     15    6603         6603         0.06           100.00%
589        12    5     19433        19433        0.17           100.00%
590        10    7     11215        11215        0.09           100.00%
591        6     10    9878         9878         0.07           100.00%
592        3     14    38976        38976        0.28           100.00%
593        16    8     5554         5554         0.05           100.00%
594        5     15    5552         5552         0.06           100.00%
595        9     10    6965729      6965729      92.76          100.00%
596        2     14    6816         6816         0.13           100.00%
597        12    5     325765       325765       8.77           100.00%
598        2     17    150398       150398       25.89          100.00%
599        14    6     9772         9772         13.36          100.00%
600        17    9     9867         9867         0.28           100.00%
601        6     16    309559       309559       21.49          100.00%
602        16    7     7562         7562         0.10           100.00%
603        8     15    11701        11701        1.77           100.00%
604        5     14    7063         7063         0.20           100.00%
605        13    5     10127        10127        0.22           100.00%
606        10    5     8898         8898         0.45           100.00%
607        10    9     63779        63779        1.40           100.00%
608        5     16    27458        27458        2.59           100.00%
609        16    6     9854         9854         1.54           100.00%
610        12    6     116529       116529       12.55          100.00%
611        13    6     37855        37855        8.38           100.00%
612        9     15    187087       187087       5.28           100.00%
613        2     12    9028         9028         0.30           100.00%
614        16    8     9361         9361         16.88          100.00%
615        17    8     8150         8150         0.29           100.00%
616        14    4     11557        11557        0.74           100.00%
617        7     16    4876         4876         14.62          100.00%
618        15    9     9165         9165         1.52           100.00%
619        7     10    4804         4804         0.43           100.00%
620        10    4     7608         7608         0.42           100.00%
621        16    6     8975         8975         9.64           100.00%
622        5     12    6305         6305         1.97           100.00%
623        4     10    88769        88769        2.62           100.00%
